Listing Name,Price,Room Type,Reviews,Location
Downtown Kirkland Cottage,150,"Entire home/apt
  ","      
        
                  
        
        
        
        

        
        
          
          
          
          
          
        
      

  ",77 reviews
Quiet MIL in downtown Kirkland,125,"Entire home/apt
  ","      
        
                  
        
        
        
        

        
        
          
          
          
          
          
        
      

  ",35 reviews
Finn Hill Family Retreat,50,"Private room
  ","      
        
                  
        
        
        
        

        
        
          
          
          
          
          
        
      

  ",32 reviews
Beach Condo on Lake Washington,100,"Entire home/apt
  ","      
        
                  
        
        
        
        

        
        
          
          
          
          
          
        
      

  ",37 reviews
Quiet room near downtown Kirkland,45,"Private room
  ","      
        
                  
        
        
        
        

        
        
          
          
          
          
          
        
      

  ",26 reviews
SPECIAL: See listing details!,39,"Entire home/apt
  ","      
        
                  
        
        
        
        

        
        
          
          
          
          
          
        
      

  ",59 reviews
One bedroom view mother-in-law apt,135,"Entire home/apt
  ","      
        
                  
        
        
        
        

        
        
          
          
          
          
          
        
      

  ",6 reviews
Tuscan LAKE VIEW HOME near Seattle,160,"Entire home/apt
  ","      
        
                  
        
        
        
        

        
        
          
          
          
          
          
        
      

  ",3 reviews
Contemporary MIL Apartment,135,"Entire home/apt
  ","      
        
                  
        
        
        
        

        
        
          
          
          
          
          
        
      

  ",5 reviews
Large comfy basement w private bath,50,"Private room
  ",1 review,
Apartment w/ incredible lake views!,120,"Entire home/apt
  ","      
        
                  
        
        
        
        

        
        
          
          
          
          
          
        
      

  ",15 reviews
"Charming Cottage Home, 3BD, Hot Tub",150,"Entire home/apt
  ","      
        
                  
        
        
        
        

        
        
          
          
          
          
          
        
      

  ",19 reviews
Private Bedroom in Kirkland Condo,55,Private room,,
Room & bath with private entrance,55,"Private room
  ",2 reviews,
Semi-private room w/ gas fireplace,49,"Private room
  ","      
        
                  
        
        
        
        

        
        
          
          
          
          
          
        
      

  ",6 reviews
Splendid Kirkland Room - private!,69,"Private room
  ","      
        
                  
        
        
        
        

        
        
          
          
          
          
          
        
      

  ",9 reviews
Charming Coastal Style Cottage,150,"Entire home/apt
  ","      
        
                  
        
        
        
        

        
        
          
          
          
          
          
        
      

  ",12 reviews
Room in Kirkland close to beach,39,"Private room
  ",2 reviews,
